publicadores,mensagens,algoritmo,brokers,vazao_publisher,vazao_subscriber,latencia_media,perc_entregues
10,1000,RoundRobin,1,5000.0,50000.0,11.2742,100.0
10,1000,RoundRobin,2,5000.0,50000.0,9.0312,100.0
10,1000,RoundRobin,3,5000.0,50000.0,6.369400000000001,100.0
10,1000,Random,1,5000.0,50000.0,10.9277,100.0
10,1000,Random,2,5000.0,50000.0,24.7844,100.0
10,1000,Random,3,3333.333333333333,33333.33333333334,8.5392,100.0
10,1000,LeastConn,1,5000.0,50000.0,9.961300000000001,100.0
10,1000,LeastConn,2,5000.0,50000.0,10.2044,100.0
10,1000,LeastConn,3,3333.333333333333,33333.33333333334,7.8315,100.0
10,1000,First,1,4761.904761904761,47619.04761904762,12.4032,100.0
10,1000,First,2,5000.0,50000.0,10.3787,100.0
10,1000,First,3,5000.0,50000.0,10.6019,100.0
10,2000,RoundRobin,1,6666.666666666667,66666.66666666667,5.7956,100.0
10,2000,RoundRobin,2,5000.0,50000.0,5.856100000000001,100.0
10,2000,RoundRobin,3,5000.0,50000.0,4.7042,100.0
10,2000,Random,1,5128.205128205128,51282.05128205128,6.2767,100.0
10,2000,Random,2,5000.0,50000.0,8.0197,100.0
10,2000,Random,3,4444.444444444444,44444.44444444445,6.881600000000001,100.0
10,2000,LeastConn,1,5000.0,50000.0,5.4099,100.0
10,2000,LeastConn,2,4444.444444444444,44444.44444444445,7.1699,100.0
10,2000,LeastConn,3,4166.666666666667,41666.66666666666,4.5911,100.0
10,2000,First,1,5128.205128205128,51282.05128205128,6.286,100.0
10,2000,First,2,5000.0,50000.0,5.7076,100.0
10,2000,First,3,5000.0,50000.0,5.9928,100.0
10,3000,RoundRobin,1,6000.0,60000.0,3.921099999999999,100.0
10,3000,RoundRobin,2,6000.0,60000.0,5.0036,100.0
10,3000,RoundRobin,3,5000.0,50000.0,4.5783,100.0
10,3000,Random,1,6000.0,60000.0,4.430999999999999,100.0
10,3000,Random,2,4918.032786885246,49180.32786885246,54.4802,100.0
10,3000,Random,3,4477.611940298508,44776.11940298507,21.8877,100.0
10,3000,LeastConn,1,6000.0,60000.0,4.3527,100.0
10,3000,LeastConn,2,5000.0,50000.0,6.574800000000001,100.0
10,3000,LeastConn,3,4411.764705882353,44117.64705882353,4.829000000000001,100.0
10,3000,First,1,6000.0,60000.0,4.3184,100.0
10,3000,First,2,6000.0,60000.0,4.0039,100.0
10,3000,First,3,6000.0,60000.0,4.689,100.0
10,4000,RoundRobin,1,6666.666666666667,66666.66666666667,3.610400000000001,100.0
10,4000,RoundRobin,2,6451.612903225807,64516.12903225807,4.278799999999999,100.0
10,4000,RoundRobin,3,5633.802816901409,56338.02816901408,3.657,100.0
10,4000,Random,1,6451.612903225807,63492.06349206349,3.4339,100.0
10,4000,Random,2,5000.0,50000.0,36.0885,100.0
10,4000,Random,3,4878.048780487805,48780.48780487805,13.3723,100.0
10,4000,LeastConn,1,5194.805194805195,51948.05194805195,3.5876,100.0
10,4000,LeastConn,2,4878.048780487805,48780.48780487805,5.292,100.0
10,4000,LeastConn,3,4819.277108433735,48192.77108433735,4.2492,100.0
10,4000,First,1,6666.666666666667,66666.66666666667,3.826,100.0
10,4000,First,2,6349.206349206349,63492.06349206349,3.8777,100.0
10,4000,First,3,6060.606060606061,60606.06060606061,3.297,100.0
10,5000,RoundRobin,1,7142.857142857143,71428.57142857143,3.17,100.0
10,5000,RoundRobin,2,6250.0,62500.0,3.3347,100.0
10,5000,RoundRobin,3,5555.555555555556,55555.55555555555,3.4442,100.0
10,5000,Random,1,6172.83950617284,61728.39506172839,2.9267,100.0
10,5000,Random,2,5555.555555555556,55555.55555555555,87.5252,100.0
10,5000,Random,3,4504.504504504504,45045.04504504504,11.3975,100.0
10,5000,LeastConn,1,6250.0,62500.0,3.655600000000001,100.0
10,5000,LeastConn,2,5555.555555555556,55555.55555555555,4.9208,100.0
10,5000,LeastConn,3,4854.368932038835,48543.68932038835,4.0897,100.0
10,5000,First,1,6250.0,62500.0,3.2954,100.0
10,5000,First,2,6250.0,62500.0,3.1409,100.0
10,5000,First,3,6250.0,62500.0,3.0195,100.0
15,1000,RoundRobin,1,5000.0,74992.1,24.0418,99.98946666666667
15,1000,RoundRobin,2,5000.0,72580.29032258065,115.787,99.9995111111111
15,1000,RoundRobin,3,4166.666666666667,60810.81081081081,18.9298,100.0
15,1000,LeastConn,1,4838.709677419355,72579.67741935483,25.4671,99.99866666666667
15,1000,LeastConn,2,4411.764705882353,56249.0,121.8142,99.99822222222221
15,1000,LeastConn,3,3750.0,56250.0,21.878,100.0
15,1000,First,1,5000.0,74998.53333333334,25.0142,99.99804444444445
15,1000,First,2,4838.709677419355,72406.70967741935,35.8325,99.76035555555555
15,1000,First,3,5000.0,74939.03333333334,28.1143,99.91871111111112
15,2000,RoundRobin,1,6000.0,89983.54,15.7202,99.98171111111111
15,2000,RoundRobin,2,5172.413793103448,75000.0,257.6563,100.0
15,2000,RoundRobin,3,4838.709677419355,72580.64516129032,13.9987,100.0
15,2000,LeastConn,1,5000.0,74994.13333333333,14.821,99.99217777777778
15,2000,LeastConn,2,5000.0,64285.71428571428,259.0142,100.0
15,2000,LeastConn,3,4285.714285714285,64285.71428571428,14.9251,100.0
15,2000,First,1,5000.0,74992.81666666667,14.3187,99.99042222222222
15,2000,First,2,5000.0,74997.25,13.7058,99.99633333333334
15,2000,First,3,5000.0,74978.33333333333,15.0198,99.97111111111111
15,3000,RoundRobin,1,6164.383561643835,92231.52054794521,13.4822,99.74668148148149
15,3000,RoundRobin,2,5625.0,74987.25555555556,336.8991,99.98300740740741
