publicadores,mensagens,algoritmo,brokers,vazao_publisher,vazao_subscriber,latencia_media,perc_entregues
10,1000,RoundRobin,1,5000.0,50000.0,13.9933,100.0
10,1000,RoundRobin,2,5000.0,50000.0,15.8499,100.0
10,1000,RoundRobin,3,4736.842105263157,47368.42105263158,12.71622222222222,100.0
10,1000,LeastConn,1,5000.0,50000.0,13.2803,100.0
10,1000,LeastConn,2,5000.0,50000.0,11.1779,100.0
10,1000,LeastConn,3,5000.0,50000.0,12.3372,100.0
10,2000,RoundRobin,1,5555.555555555556,55555.55555555555,8.2545,100.0
10,2000,LeastConn,1,5555.555555555556,55555.55555555555,6.3976,100.0
10,2000,LeastConn,2,5714.285714285715,57142.85714285714,6.9244,100.0
10,2000,LeastConn,3,5555.555555555556,55555.55555555555,7.532999999999999,100.0
10,3000,RoundRobin,1,5454.545454545455,54545.45454545454,5.860000000000001,100.0
10,3000,RoundRobin,2,5454.545454545455,54545.45454545454,6.9694,100.0
10,3000,RoundRobin,3,5454.545454545455,54545.45454545454,4.9341,100.0
10,3000,LeastConn,1,5454.545454545455,54545.45454545454,6.334000000000001,100.0
10,3000,LeastConn,2,6000.0,60000.0,6.3617,100.0
10,3000,LeastConn,3,6000.0,60000.0,4.7653,100.0
10,4000,RoundRobin,1,6557.377049180328,65573.77049180328,4.4199,100.0
10,4000,LeastConn,1,6666.666666666667,66666.66666666667,4.3025,100.0
10,4000,LeastConn,2,6666.666666666667,66666.66666666667,4.6827,100.0
10,4000,LeastConn,3,5555.555555555556,55555.55555555555,4.5162,100.0
10,5000,RoundRobin,1,5952.380952380952,59523.80952380953,3.6488,100.0
10,5000,RoundRobin,2,6666.666666666667,66666.66666666667,4.0081,100.0
10,5000,LeastConn,1,6756.756756756757,67567.56756756757,4.2071,100.0
10,5000,LeastConn,2,5882.35294117647,58823.52941176471,3.563,100.0
10,5000,LeastConn,3,6756.756756756757,67567.56756756757,3.5078,100.0
15,1000,RoundRobin,1,4411.764705882353,66128.26470588235,29.841,99.92715555555556
15,1000,RoundRobin,3,4655.172413793103,69715.75862068965,30.93333333333333,99.83985185185185
15,1000,LeastConn,1,5000.0,74950.86666666667,26.5442,99.93448888888888
15,1000,LeastConn,2,4838.709677419355,72461.70967741935,28.4249,99.83613333333334
15,1000,LeastConn,3,4838.709677419355,72509.96774193548,29.5768,99.90262222222222
15,2000,RoundRobin,1,5454.545454545455,81783.21818181819,15.4722,99.95726666666667
15,2000,RoundRobin,2,5400.0,80959.72,15.96133333333334,99.95027160493828
15,2000,LeastConn,1,5660.377358490566,84858.52830188679,15.8967,99.9444888888889
15,2000,LeastConn,2,5555.555555555556,83270.70370370371,15.0369,99.92484444444445
15,2000,LeastConn,3,5555.555555555556,83318.94444444444,14.0533,99.98273333333333
15,3000,RoundRobin,1,5056.179775280899,75809.42696629213,11.4743,99.95613333333333
15,3000,RoundRobin,3,5126.582278481013,76884.24050632911,11.98855555555556,99.98115226337448
15,3000,LeastConn,1,5921.052631578948,88781.81578947368,10.3292,99.96174814814815
15,3000,LeastConn,2,5844.155844155845,87635.35064935064,10.9393,99.96921481481482
15,3000,LeastConn,3,5696.202531645569,85386.39240506329,11.5232,99.93370370370371
15,4000,RoundRobin,1,5504.587155963302,82563.99082568807,8.993500000000001,99.99416666666667
15,4000,LeastConn,1,5607.476635514019,84065.05607476635,9.124999999999998,99.94401111111111
15,4000,LeastConn,2,5825.242718446602,87315.89320388349,8.9757,99.9281888888889
15,4000,LeastConn,3,6060.606060606061,90821.44444444444,9.4079,99.90358888888889
15,5000,RoundRobin,3,4901.960784313726,73525.39869281046,7.5553,99.99454222222222
15,5000,LeastConn,1,6147.540983606557,92177.82786885246,7.236599999999998,99.96173333333334
15,5000,LeastConn,2,6048.387096774193,90706.59677419355,6.989199999999999,99.97882666666666
